date,sentiment,win_rate
2023-05-01,Greed,0.00
2023-12-14,Greed,36.36
2023-12-15,Greed,0.00
2023-12-16,Greed,0.00
2023-12-17,Greed,50.00
2023-12-18,Greed,0.00
2023-12-19,Greed,66.67
2023-12-20,Greed,44.44
2023-12-21,Greed,53.06
2023-12-22,Greed,20.00
2023-12-23,Greed,61.54
2023-12-24,Greed,38.46
2023-12-25,Greed,0.00
2023-12-27,Greed,14.29
2023-12-28,Greed,0.00
2023-12-29,Greed,30.00
2023-12-30,Greed,44.23
2024-01-01,Greed,5.56
2024-01-02,Greed,47.06
2024-01-03,Greed,41.79
2024-01-04,Greed,0.00
2024-01-05,Greed,19.70
2024-01-06,Greed,45.45
2024-01-07,Greed,9.28
2024-01-08,Greed,25.00
2024-01-10,Greed,21.24
2024-01-12,Greed,0.00
2024-01-16,Greed,0.00
2024-01-16,Greed,100.00
2024-01-17,Greed,20.75
2024-01-18,Greed,6.52
2024-01-21,Greed,27.27
2024-01-22,Greed,29.17
2024-01-22,Greed,24.32
2024-01-29,Greed,50.00
2024-01-29,Greed,61.11
2024-01-30,Greed,10.20
2024-01-31,Greed,26.89
2024-02-01,Greed,0.00
2024-02-02,Greed,30.95
2024-02-03,Greed,10.71
2024-02-04,Greed,25.71
2024-02-05,Greed,19.44
2024-02-06,Greed,16.45
2024-02-07,Greed,13.33
2024-02-08,Greed,40.00
2024-02-11,Greed,20.59
2024-02-12,Greed,37.50
2024-02-14,Greed,89.77
2024-02-14,Greed,17.39
2024-02-15,Greed,94.23
2024-02-15,Greed,72.73
2024-02-16,Greed,85.88
2024-02-16,Greed,0.00
2024-02-18,Greed,62.89
2024-02-20,Greed,77.14
2024-02-20,Greed,100.00
2024-02-22,Greed,46.51
2024-02-22,Greed,0.00
2024-02-25,Greed,0.00
2024-02-26,Greed,91.89
2024-02-26,Greed,0.00
2024-03-20,Greed,94.92
2024-03-20,Greed,40.00
2024-03-24,Greed,78.95
2024-04-03,Greed,50.00
2024-04-03,Greed,0.00
2024-04-04,Greed,0.00
2024-04-13,Greed,0.00
2024-04-13,Greed,85.92
2024-04-14,Greed,4.69
2024-04-14,Greed,69.77
2024-04-15,Greed,0.00
2024-04-15,Greed,92.11
2024-04-16,Greed,0.00
2024-04-16,Greed,93.48
2024-04-17,Greed,92.86
2024-04-19,Greed,77.14
2024-04-20,Greed,0.00
2024-04-20,Greed,0.00
2024-04-22,Greed,0.00
2024-04-23,Greed,57.41
2024-04-23,Greed,33.33
2024-04-24,Greed,30.00
2024-04-25,Greed,0.00
2024-04-25,Greed,0.00
2024-04-26,Greed,0.00
2024-04-27,Greed,70.37
2024-04-28,Greed,0.00
2024-04-28,Greed,0.00
2024-04-29,Greed,54.84
2024-04-29,Greed,0.00
2024-04-30,Greed,0.00
2024-05-04,Greed,0.00
2024-05-04,Greed,0.00
2024-05-05,Greed,0.00
2024-05-05,Greed,50.00
2024-05-06,Greed,44.44
2024-05-07,Greed,70.00
2024-05-07,Greed,0.00
2024-05-07,Greed,28.57
2024-05-08,Greed,0.00
2024-05-08,Greed,33.33
2024-05-09,Greed,44.00
2024-05-09,Greed,0.00
2024-05-10,Greed,27.27
2024-05-12,Greed,0.00
2024-05-12,Greed,0.00
2024-05-13,Greed,40.00
2024-05-13,Greed,0.00
2024-05-14,Greed,17.39
2024-05-15,Greed,47.22
2024-05-16,Greed,20.83
2024-05-16,Greed,0.00
2024-05-18,Greed,64.00
2024-05-19,Greed,0.00
2024-05-20,Greed,0.00
2024-05-20,Greed,0.00
2024-05-24,Greed,100.00
2024-05-27,Greed,35.86
2024-05-29,Greed,0.00
2024-05-29,Greed,42.77
2024-05-30,Greed,71.43
2024-05-31,Greed,30.77
2024-06-01,Greed,36.00
2024-06-02,Greed,36.56
2024-06-03,Greed,62.86
2024-06-04,Greed,47.17
2024-06-08,Greed,0.00
2024-06-08,Greed,36.36
2024-06-10,Greed,0.00
2024-06-10,Greed,36.73
2024-06-11,Greed,0.00
2024-06-11,Greed,33.33
2024-06-11,Greed,10.67
2024-06-12,Greed,9.68
2024-06-12,Greed,0.00
2024-06-13,Greed,0.00
2024-06-13,Greed,24.36
2024-06-14,Greed,0.00
2024-06-14,Greed,100.00
2024-06-15,Greed,76.32
2024-06-15,Greed,22.50
2024-06-16,Greed,0.00
2024-06-17,Greed,28.57
2024-06-17,Greed,87.50
2024-06-18,Greed,0.00
2024-06-18,Greed,22.22
2024-06-19,Greed,0.00
2024-06-19,Greed,100.00
2024-06-19,Greed,34.15
2024-06-20,Greed,100.00
2024-06-20,Greed,0.00
2024-06-20,Greed,0.00
2024-06-21,Greed,27.27
2024-06-21,Greed,0.00
2024-06-23,Greed,0.00
2024-06-25,Fear,22.45
2024-06-27,Fear,0.00
2024-06-27,Fear,0.00
2024-06-29,Fear,76.47
2024-06-29,Fear,18.97
2024-07-04,Fear,0.00
2024-07-04,Fear,0.00
2024-07-05,Fear,0.00
2024-07-05,Fear,0.00
2024-07-06,Fear,29.17
2024-07-07,Fear,100.00
2024-07-08,Fear,0.00
2024-07-09,Fear,100.00
2024-07-10,Fear,76.74
2024-07-10,Fear,38.46
2024-07-11,Fear,47.37
2024-07-12,Fear,0.00
2024-07-12,Fear,100.00
2024-07-13,Fear,100.00
2024-07-13,Fear,100.00
2024-07-14,Fear,0.00
2024-07-16,Greed,0.00
2024-07-17,Greed,0.00
2024-07-17,Greed,43.28
2024-07-17,Greed,0.00
2024-07-18,Greed,77.36
2024-07-18,Greed,100.00
2024-07-19,Greed,68.75
2024-07-19,Greed,14.29
2024-07-20,Greed,44.44
2024-07-20,Greed,11.28
2024-07-21,Greed,0.00
2024-07-21,Greed,4.72
2024-07-22,Greed,61.90
2024-07-22,Greed,6.77
2024-07-23,Greed,100.00
2024-07-23,Greed,0.00
2024-07-23,Greed,71.94
2024-07-24,Greed,0.00
2024-07-24,Greed,0.00
2024-07-24,Greed,0.00
2024-07-24,Greed,62.07
2024-07-24,Greed,0.00
2024-07-25,Greed,0.00
2024-07-25,Greed,0.00
2024-07-25,Greed,83.33
2024-07-26,Greed,0.00
2024-07-26,Greed,0.00
2024-07-26,Greed,28.83
2024-07-26,Greed,96.67
2024-07-27,Greed,80.77
2024-07-27,Greed,0.00
2024-07-28,Greed,0.00
2024-07-28,Greed,92.31
2024-07-29,Greed,33.33
2024-07-29,Greed,45.83
2024-07-30,Greed,0.00
2024-07-31,Greed,0.00
2024-07-31,Greed,35.00
2024-08-02,Greed,0.00
2024-08-02,Greed,80.00
2024-08-02,Greed,41.67
2024-08-03,Fear,0.00
2024-08-03,Fear,0.00
2024-08-03,Fear,100.00
2024-08-03,Fear,0.00
2024-08-03,Fear,0.00
2024-08-04,Fear,0.00
2024-08-04,Fear,0.00
2024-08-04,Fear,17.65
2024-08-04,Fear,0.00
2024-08-04,Fear,0.00
2024-08-05,Fear,0.00
2024-08-05,Fear,41.18
2024-08-05,Fear,0.00
2024-08-05,Fear,59.09
2024-08-07,Fear,0.00
2024-08-07,Fear,0.00
2024-08-07,Fear,47.62
2024-08-10,Fear,0.00
2024-08-10,Fear,0.00
2024-08-11,Fear,50.00
2024-08-11,Fear,0.00
2024-08-12,Fear,0.00
2024-08-12,Fear,37.50
2024-08-12,Fear,0.00
2024-08-13,Fear,0.00
2024-08-13,Fear,0.00
2024-08-13,Fear,47.06
2024-08-14,Fear,0.00
2024-08-14,Fear,55.56
2024-08-14,Fear,0.00
2024-08-15,Fear,0.00
2024-08-16,Fear,0.00
2024-08-16,Fear,9.09
2024-08-17,Fear,0.00
2024-08-17,Fear,0.00
2024-08-18,Fear,85.71
2024-08-18,Fear,0.00
2024-08-19,Fear,62.50
2024-08-20,Fear,12.50
2024-08-20,Fear,0.00
2024-08-21,Fear,37.76
2024-08-21,Fear,0.00
2024-08-23,Fear,30.00
2024-08-24,Greed,0.00
2024-08-24,Greed,0.00
2024-08-26,Greed,40.00
2024-08-26,Greed,0.00
2024-08-28,Fear,0.00
2024-08-28,Fear,100.00
2024-08-29,Fear,0.00
2024-08-30,Fear,0.00
2024-08-30,Fear,0.00
2024-08-30,Fear,0.00
2024-08-30,Fear,100.00
2024-08-31,Fear,0.00
2024-08-31,Fear,50.00
2024-08-31,Fear,0.00
2024-09-01,Fear,41.67
2024-09-02,Fear,0.00
2024-09-04,Fear,0.00
2024-09-04,Fear,15.15
2024-09-05,Fear,0.00
2024-09-08,Fear,0.00
2024-09-09,Fear,0.00
2024-09-10,Fear,0.00
2024-09-10,Fear,0.00
2024-09-11,Fear,0.00
2024-09-25,Greed,0.00
2024-09-25,Greed,0.00
2024-09-27,Greed,0.00
2024-09-27,Greed,0.00
2024-09-28,Greed,0.00
2024-09-30,Greed,50.00
2024-09-30,Greed,0.00
2024-10-02,Fear,0.00
2024-10-03,Fear,60.00
2024-10-03,Fear,0.00
2024-10-04,Fear,0.00
2024-10-10,Fear,0.00
2024-10-11,Fear,0.00
2024-10-11,Fear,72.00
2024-10-15,Greed,57.14
2024-10-16,Greed,27.27
2024-10-17,Greed,12.50
2024-10-17,Greed,0.00
2024-10-18,Greed,83.33
2024-10-19,Greed,0.00
2024-10-20,Greed,83.33
2024-10-20,Greed,6.67
2024-10-21,Greed,0.00
2024-10-21,Greed,41.98
2024-10-22,Greed,0.00
2024-10-23,Greed,0.00
2024-10-25,Greed,64.00
2024-10-25,Greed,100.00
2024-10-27,Greed,75.00
2024-10-28,Greed,0.00
2024-10-28,Greed,100.00
2024-10-29,Greed,0.00
2024-10-29,Greed,18.75
2024-11-02,Greed,0.00
2024-11-03,Greed,0.00
2024-11-03,Greed,0.00
2024-11-04,Greed,100.00
2024-11-04,Greed,50.00
2024-11-05,Greed,50.00
2024-11-06,Greed,0.00
2024-11-06,Greed,58.33
2024-12-06,Greed,0.00
2024-12-06,Greed,0.00
2024-12-06,Greed,23.19
2024-12-06,Greed,0.00
2024-12-06,Greed,0.00
2024-12-06,Greed,0.00
2024-12-06,Greed,29.63
2024-12-06,Greed,35.59
2024-12-06,Greed,0.00
2024-12-06,Greed,100.00
2024-12-11,Greed,34.41
2024-12-11,Greed,52.63
2024-12-11,Greed,100.00
2024-12-11,Greed,33.54
2024-12-11,Greed,26.67
2024-12-11,Greed,100.00
2024-12-11,Greed,34.78
2024-12-11,Greed,100.00
2024-12-11,Greed,100.00
2024-12-11,Greed,100.00
2024-12-11,Greed,0.00
2024-12-11,Greed,97.92
2024-12-20,Greed,61.76
2024-12-20,Greed,57.22
2024-12-20,Greed,90.91
2024-12-20,Greed,33.33
2024-12-20,Greed,75.00
2024-12-20,Greed,42.19
2024-12-20,Greed,41.60
2024-12-20,Greed,0.00
2024-12-20,Greed,0.00
2024-12-20,Greed,89.95
2024-12-20,Greed,67.08
2024-12-20,Greed,91.67
2024-12-20,Greed,0.00
2024-12-20,Greed,62.12
2024-12-20,Greed,53.38
2024-12-21,Greed,50.47
2024-12-21,Greed,37.55
2024-12-21,Greed,56.00
2024-12-21,Greed,100.00
2024-12-21,Greed,50.00
2024-12-21,Greed,31.72
2024-12-21,Greed,0.00
2024-12-21,Greed,69.32
2024-12-22,Greed,51.90
2024-12-22,Greed,29.41
2024-12-22,Greed,0.00
2024-12-22,Greed,100.00
2024-12-22,Greed,0.00
2024-12-22,Greed,0.00
2024-12-22,Greed,27.84
2024-12-22,Greed,75.00
2024-12-23,Greed,30.53
2024-12-23,Greed,41.38
2024-12-23,Greed,100.00
2024-12-23,Greed,39.71
2024-12-23,Greed,0.00
2024-12-23,Greed,0.00
2024-12-23,Greed,98.04
2024-12-23,Greed,0.00
2024-12-23,Greed,90.00
2024-12-23,Greed,0.00
2024-12-23,Greed,0.00
2024-12-23,Greed,69.84
2024-12-23,Greed,0.00
2024-12-23,Greed,20.04
2024-12-24,Greed,31.25
2024-12-24,Greed,54.55
2024-12-24,Greed,84.21
2024-12-24,Greed,0.00
2024-12-24,Greed,42.15
2024-12-24,Greed,65.63
2024-12-24,Greed,0.00
2024-12-24,Greed,100.00
2024-12-24,Greed,0.00
2024-12-24,Greed,0.00
2024-12-24,Greed,4.94
2024-12-25,Greed,45.45
2024-12-25,Greed,30.30
2024-12-25,Greed,0.00
2024-12-25,Greed,0.00
2024-12-25,Greed,75.00
2024-12-25,Greed,0.00
2024-12-27,Greed,35.62
2024-12-27,Greed,60.87
2024-12-27,Greed,50.00
2024-12-27,Greed,0.00
2024-12-27,Greed,0.00
2024-12-27,Greed,17.24
2024-12-27,Greed,0.00
2024-12-28,Greed,36.51
2024-12-28,Greed,0.00
2024-12-28,Greed,23.26
2024-12-28,Greed,50.00
2024-12-28,Greed,0.00
2024-12-28,Greed,100.00
2024-12-28,Greed,0.00
2024-12-29,Greed,50.00
2024-12-29,Greed,42.39
2024-12-29,Greed,28.57
2024-12-29,Greed,0.00
2024-12-29,Greed,0.00
2024-12-29,Greed,100.00
2024-12-29,Greed,0.00
2024-12-30,Greed,33.60
2024-12-30,Greed,50.00
2024-12-30,Greed,50.85
2024-12-30,Greed,65.79
2024-12-30,Greed,40.91
2024-12-30,Greed,0.00
2024-12-30,Greed,58.33
2024-12-30,Greed,100.00
2024-12-30,Greed,0.00
2024-12-31,Greed,29.91
2024-12-31,Greed,97.96
2024-12-31,Greed,7.07
2024-12-31,Greed,4.26
2024-12-31,Greed,0.00
2024-12-31,Greed,100.00
2025-01-01,Greed,35.59
2025-01-01,Greed,41.67
2025-01-01,Greed,18.75
2025-01-01,Greed,0.00
2025-01-01,Greed,0.00
2025-01-01,Greed,0.00
2025-01-02,Greed,45.54
2025-01-02,Greed,47.78
2025-01-02,Greed,42.11
2025-01-02,Greed,0.00
2025-01-02,Greed,94.34
2025-01-02,Greed,55.56
2025-01-02,Greed,100.00
2025-01-02,Greed,12.99
2025-01-02,Greed,0.00
2025-01-03,Greed,52.17
2025-01-03,Greed,0.00
2025-01-03,Greed,23.53
2025-01-03,Greed,60.42
2025-01-03,Greed,0.00
2025-01-03,Greed,65.38
2025-01-03,Greed,18.08
2025-01-03,Greed,0.00
2025-01-03,Greed,0.00
2025-01-04,Greed,49.38
2025-01-04,Greed,26.32
2025-01-04,Greed,0.00
2025-01-04,Greed,0.00
2025-01-04,Greed,0.00
2025-01-04,Greed,0.00
2025-01-04,Greed,3.92
2025-01-04,Greed,100.00
2025-01-04,Greed,68.42
2025-01-05,Greed,53.66
2025-01-05,Greed,10.53
2025-01-05,Greed,21.05
2025-01-05,Greed,0.00
2025-01-05,Greed,100.00
2025-01-05,Greed,0.00
2025-01-05,Greed,17.65
2025-01-05,Greed,96.97
2025-01-08,Greed,57.05
2025-01-08,Greed,0.00
2025-01-08,Greed,31.55
2025-01-08,Greed,0.00
2025-01-08,Greed,0.00
2025-01-08,Greed,100.00
2025-01-08,Greed,91.84
